rank,name,state_name,state_code,type,degree_length,in_state_total,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Color,tuition_increase,salary_increase,position
2,Marquette University,Wisconsin,WI,Private,4 Year,54590,54590,57800,105900,52,25,#4169E1,100%,55%,
9,Marshall University,West-Virginia,WV,Public,4 Year,18578,29064,45000,79700,50,12,#CD853F,64%,56%,
24,Maryland Institute College of Art,Maryland,MD,Private,4 Year,61910,61910,49000,84500,40,0,#4169E1,100%,58%,
19,Marylhurst University,Oregon,OR,Private,4 Year,20835,20835,46200,79800,63,0,#4169E1,100%,58%,
12,Marymount University,Virginia,VA,Private,4 Year,44656,44656,52300,93100,44,15,#4169E1,100%,56%,
24,Maryville College,Tennessee,TN,Private,4 Year,46304,46304,42800,75300,68,16,#4169E1,100%,57%,
18,Maryville University of Saint Louis,Missouri,MO,Private,4 Year,38558,38558,46800,80100,53,2,#4169E1,100%,58%,
1,Massachusetts Institute of Technology,Massachusetts,MA,Private,4 Year,67342,67342,86300,155200,52,69,#4169E1,100%,56%,
8,Massachusetts Maritime Academy,Massachusetts,MA,Public,4 Year,22399,38777,67900,117500,53,47,#CD853F,58%,58%,
4,Mayville State University,North-Dakota,ND,Public,4 Year,14506,17239,43700,81300,44,10,#CD853F,84%,54%,
12,McDaniel College,Maryland,MD,Private,4 Year,54690,54690,51100,94600,54,6,#4169E1,100%,54%,
11,McNeese State University,Louisiana,LA,Public,4 Year,16563,27638,50200,88200,57,13,#CD853F,60%,57%,
14,McPherson College,Kansas,KS,Private,4 Year,37739,37739,44500,80900,59,9,#4169E1,100%,55%,
6,MCPHS University,Massachusetts,MA,Private,4 Year,49105,49105,65900,121800,71,2,#4169E1,100%,54%,
5,Medical University of South Carolina,South-Carolina,SC,Public,4 Year,26826,26826,54800,92700,88,6,#CD853F,100%,59%,
20,Menlo College,California,CA,Private,4 Year,57025,57025,61900,112400,59,0,#4169E1,100%,55%,
11,Mercer University,Georgia,GA,Private,4 Year,48510,48510,48500,85100,62,14,#4169E1,100%,57%,
22,Merrimack College,Massachusetts,MA,Private,4 Year,57605,57605,56000,102500,50,13,#4169E1,100%,55%,
23,Methodist College,Illinois,IL,Private,4 Year,28240,28240,51400,90500,NA,0,#4169E1,100%,57%,
19,Methodist University,North-Carolina,NC,Private,4 Year,46736,46736,45800,80500,58,9,#4169E1,100%,57%,
20,Metropolitan State University,Minnesota,MN,Public,4 Year,7879,14980,50200,85900,53,11,#CD853F,53%,58%,
11,Metropolitan State University of Denver,Colorado,CO,Public,4 Year,7665,20847,49400,87200,51,11,#CD853F,37%,57%,
